ID,Number of Bags,Bag Weight,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Overall,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
196,275,69 kg,Caturra,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10,7.17,80.5,11.5,0,1,greenish,3
197,275,69 kg,Sarchimor,Washed / Wet,7.42,7.17,7,7.08,7.42,7.17,10,7.17,80.42,11.2,0,0,green,5
198,3,10 kg,"Castillo,Caturra,Bourbon",Washed / Wet,7.25,7.25,7.17,7.33,7,7.17,10,7.25,80.42,11,0,3,greenish,3
199,275,69 kg,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10,7,80.33,11.8,0,6,greenish,11
200,1,2 kg,Pacas,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10,7,80.33,11.5,0,10,bluish-green,7
201,440,60 kg,Catuai and Mundo Novo,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10,7.17,80.17,11.6,0,1,greenish,2
202,2240,60 kg,Mundo Novo,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10,7.08,80.08,11.4,0,0,green,4
203,300,30 kg,SHG,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10,7.08,80,10.4,0,2,green,12
204,343,60 kg,Catimor,Washed / Wet,7.25,7.17,7.08,7,7.08,7.08,10,7,79.67,11.6,0,9,green,11
205,1,2 kg,Maragogype,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7,10,6.83,78.08,11,0,12,bluish-green,13
206,600,60 kg,Mundo Novo,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10,6.67,78,11.3,0,0,green,1
207,26,24 kg,Maragogype,Washed / Wet,7.67,7.92,7.25,7.58,7.33,8.25,8.67,8.58,84.42,10.2,2,8,blue-green,9
208,1,50 kg,SL34,Double Anaerobic Washed,7.08,7.83,8.25,8.08,8,8,10,7.92,82.42,9.8,1,8,green,3
209,6,12 kg,"Castillo,Caturra,Bourbon","Honey,Mossto",7.67,7.67,7.25,8.25,8.25,7.92,9.33,8,85.67,10.9,5,7,browish-green,13
210,285,15 kg,Pacamara,Double Carbonic Maceration / Natural,8,7.42,6.92,8.58,7.17,7.67,10,7.75,82.42,9.9,4,9,green,0
211,66,10 kg,"Wolishalo,Kurume,Dega","Honey,Mossto",7.58,7.17,7.58,8.25,7.58,7.42,8.67,8.08,85.67,10.3,4,10,brownish,16
212,430,30 kg,Pacamara,Wet Hulling,7.42,8.42,7.92,7.83,8,7.5,9.33,7.17,89.33,10.4,4,6,yellowish,4
213,20,85 kg,Catucai,Wet Hulling,7.42,8.08,7.17,7.92,7.17,7.83,10,8.08,83.42,12.1,4,3,browish-green,16
214,80,16 kg,Castillo Paraguaycito,Semi Washed,7.42,8.42,7.17,7.58,7.33,7,10,8.08,83.17,12.2,5,10,yellow-green,11
215,40,90 kg,Java,"Honey,Mossto",7.17,7.5,7.42,7.25,7.08,7.42,8.67,7.08,83.83,12.1,2,9,yellow green,13
216,74,1 kg,Caturra,Anaerobico 1000h,8.5,7.08,7.5,7.75,8,7.25,8.67,7.83,86.17,12.2,0,0,bluish-green,4
217,50,320 kg,Typica Gesha,Pulped natural / honey,8.58,7.08,7.08,7.83,8,8.08,8.67,7.83,82.75,11.9,5,8,pale yellow,7
218,275,13 kg,Castillo Paraguaycito,Natural / Dry,7.92,7.83,8.17,7.5,7.67,8.17,9.33,7.42,86.5,12.1,3,8,brownish,12
219,40,22 kg,Mundo Novo,Pulped natural / honey,8,7.92,7.75,7.08,7.83,7.25,10,7.17,87,12.1,2,0,greenish,16
220,620,15 kg,Mundo Novo,"Honey,Mossto",7.42,8.42,7.58,7.5,8.25,7.83,10,8.58,86.25,9.7,2,9,yellow- green,9
221,260,30 kg,Parainema,Semi Washed,7.33,7.25,7.25,8.33,7.17,7.58,8.67,7.67,84.33,10.2,5,1,yellow green,0
222,22,24 kg,Catimor,Anaerobico 1000h,7.75,7.83,7.25,7.17,7,6.67,10,6.83,83.42,10.6,2,7,bluish-green,9
223,35,80 kg,Catuai,Wet Hulling,8.5,8.08,8.25,8.25,7.25,8.08,10,7,85.75,12.3,3,8,blue-green,16
224,200,320 kg,"Wolishalo,Kurume,Dega",Pulped natural / honey,8.58,7.92,7.83,7.83,7.08,6.67,9.33,8.33,83,10.1,3,1,yellow-green,16
225,13,104 kg,"Jember,TIM-TIM,Ateng",Natural / Dry,7.42,7.58,7.58,7.17,8.17,7.67,9.33,8.17,85.42,13.5,2,3,brownish,7
226,300,50 kg,Yellow Bourbon,Anaerobico 1000h,7.25,8.17,7.75,7.58,7.92,7,10,7.17,87,10.3,5,3,bluish-green,3
227,19,1 kg,"BOURBON, CATURRA Y CATIMOR",Washed / Wet,7.17,7.58,7,7.58,8,8,9.33,7.67,83,9.1,3,7,yellow- green,8
228,3,2 kg,"Bourbon, Catimor, Caturra, Typica",Double Anaerobic Washed,7.92,7.83,7,7.5,7.83,7.42,10,7.17,83.25,10.2,2,3,brownish,2
229,77,20 kg,Bourbon,Semi Washed,7.42,7.08,8.25,6.83,7,7.5,8.67,7.17,85.5,11.7,1,7,yellow-green,7
230,25,104 kg,Castillo and Colombia blend,Double Carbonic Maceration / Natural,6.5,8.25,6.75,8.08,7.67,7.92,8.67,7.75,82.75,9.5,4,2,yellow-green,1
231,5,60 kg,Bourbon,Semi Washed,7.5,7.42,8,7.67,7.83,7.33,9.33,6.67,84.33,10.7,1,3,yellow green,5
232,13,35 kg,"Catimor,Catuai,Caturra,Bourbon",Washed / Wet,7.08,7.25,8.42,7.42,7.42,7,9.33,7.42,87.17,10.7,1,6,greenish,8
233,620,24 kg,Sarchimor,Double Carbonic Maceration / Natural,7.25,7.33,7.58,7.08,6.83,8.08,9.33,8.5,83.75,11.7,0,9,blue-green,1
234,14,100 kg,Typica,Wet Hulling,8.25,7.5,8.42,6.83,7,6.67,8.67,7.92,83.83,10.5,1,12,green,12
235,620,24 kg,Ethiopian Heirlooms,Washed / Wet,7.25,8.33,7.83,7.17,7.25,8.42,8.67,7.33,84.33,10.8,1,8,pale yellow,5
236,14,2 kg,Castillo and Colombia blend,Pulped natural / honey,7.67,8.33,7.5,7.58,7.33,8.17,9.33,7.67,85.42,9.9,2,9,greenish,3
237,141,70 kg,SL28,Anaerobico 1000h,7.42,7.42,7.25,7.42,7.58,8.08,9.33,8.33,82.5,9.5,0,7,yellowish,2
238,77,24 kg,Pacamara,Anaerobico 1000h,6.5,7.83,7.75,7.67,7.58,7.75,8.67,7.75,85.75,8.1,3,9,yellow- green,10
239,26,5 kg,"Bourbon, Catimor, Caturra, Typica",Wet Hulling,7.58,7.25,7.83,7.83,6.83,7.58,9.33,8.17,87.42,10.2,2,2,yellow green,7
240,250,69 kg,"BOURBON, CATURRA Y CATIMOR",Semi Washed,8,8.42,7.75,7.08,7.17,7.5,8.67,7.75,87.17,12.4,4,5,browish-green,12
241,200,60 kg,"BOURBON, CATURRA Y CATIMOR",Double Carbonic Maceration / Natural,7.42,7.5,6.92,7.83,8,7.92,8.67,7.92,85.75,12.4,0,2,bluish-green,16
242,80,1 kg,Gesha,Washed / Wet,7.5,7.17,8.42,8.25,8.08,7.25,9.33,8.17,86.08,9.2,0,12,browish-green,0
243,635,90 kg,"Catimor,Catuai,Caturra,Bourbon",Pulped natural / honey,7.92,6.75,8.25,7.75,7.08,7.08,9.33,7,82.67,11.2,3,3,browish-green,0
244,584,36 kg,Typica,Pulped natural / honey,8.33,7.75,7.08,7.67,7.33,6.67,10,8.58,86.92,10.8,5,1,greenish,9
245,25,90 kg,"Wolishalo,Kurume,Dega",Anaerobico 1000h,7.58,7.92,7.67,8.25,8.17,7.75,10,8.5,84.33,9.3,5,9,yellow green,5
246,6,300 kg,Typica Bourbon Caturra Catimor,Double Carbonic Maceration / Natural,7.33,7.42,7.83,7.75,7.33,7.83,9.33,8.33,83.08,10.8,3,12,blue-green,13
247,375,48 kg,Sl34+Gesha,Double Carbonic Maceration / Natural,7.83,7.75,7.33,7.5,8,7.25,8.67,7.75,86.92,10.3,2,2,yellow- green,1
248,5,300 kg,"Catimor,Catuai,Caturra,Bourbon",Semi Washed,7.08,7.25,7.58,8.25,8.25,7.25,10,6.67,85,10.3,4,8,yellow-green,8
249,8,12 kg,Yellow Catuai,Washed / Wet,7.58,8.08,8,7.58,7.08,6.67,10,7.83,86.25,11.8,1,5,yellow- green,9
250,74,60 kg,"Bourbon, Catimor, Caturra, Typica","Honey,Mossto",7.5,7.5,7.5,7.5,7.33,7.67,8.67,8.08,85.33,9.4,2,1,yellow- green,2
251,960,104 kg,Catrenic,Double Carbonic Maceration / Natural,7.92,7.25,8.25,7,8.08,7.75,8.67,7.42,84.08,10.4,0,10,yellow- green,9
252,5,27 kg,Typica,Anaerobico 1000h,8.08,7.17,7.08,7.67,8.25,7.83,9.33,7.33,82.83,11.3,1,2,yellow- green,13
253,635,27 kg,Castillo Paraguaycito,"Honey,Mossto",7.92,7.5,6.75,7.08,7.92,7.5,10,7.92,85.75,11.3,1,0,yellowish,7
254,100,12 kg,SL34,Washed / Wet,7.08,7.17,6.92,7.5,7.42,8,10,7,85.25,9.3,4,5,blue-green,2
255,6,69 kg,"Catimor,Catuai,Caturra,Bourbon",Wet Hulling,7.17,7.58,8,7.67,8.08,8.17,9.33,8.33,83.08,9.8,0,7,yellow-green,0
256,5,69 kg,"BOURBON, CATURRA Y CATIMOR",Washed / Wet,7.67,8.25,7.17,7.42,7.17,7,10,7.83,86.67,12.1,4,1,green,8
257,260,13 kg,Catucai,Pulped natural / honey,7.58,7.42,7.08,8.25,8.08,8.25,10,8.17,85.67,11.1,2,3,pale yellow,1
258,430,13 kg,Castillo,Anaerobico 1000h,7.42,7.67,7,7.42,7.67,7.42,10,6.67,84.58,8.1,1,3,yellow-green,7
259,74,85 kg,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,8.58,7.58,7,7.33,7.08,7.42,10,7.58,82.75,10.3,5,10,yellow-green,2
260,4,12 kg,Typica Gesha,Washed / Wet,8.5,7.17,7.25,7.83,7,8.17,8.67,6.67,85.75,10,4,12,green,9
261,8,90 kg,Castillo and Colombia blend,Anaerobico 1000h,7.08,7.67,7.42,7.67,7,7.58,8.67,8.33,87,11.6,3,8,yellow- green,16
262,340,1 kg,Catuai and Mundo Novo,Double Anaerobic Washed,6.5,8.17,8.25,7.42,7.92,8,8.67,7.5,83.5,9.9,1,5,greenish,16
263,632,45 kg,Sl34+Gesha,Semi Washed,8.25,8,7.67,7.58,7.92,7.5,9.33,7.5,85.67,11.6,1,5,pale yellow,0
264,22,35 kg,Maragogype,Semi Washed,7.17,8.42,7.58,8.08,8.08,7.58,9.33,6.83,86.08,9.4,5,3,yellow-green,3
265,3,20 kg,SL28,Washed / Wet,7.33,8.33,8.08,7.42,7.08,7.83,9.33,7.08,86.08,10.6,4,5,yellow green,7
266,19,320 kg,Gesha,Double Carbonic Maceration / Natural,7.83,8.33,7.17,6.83,8.25,8.25,10,8.17,84.25,10.1,4,5,brownish,7
267,8,320 kg,Typica Bourbon Caturra Catimor,Double Carbonic Maceration / Natural,7.25,7.67,7,7.08,7.42,7.08,8.67,6.67,84.75,12.4,4,2,bluish-green,13
268,19,70 kg,"Jember,TIM-TIM,Ateng",Washed / Wet,7.5,7.67,7.5,8.58,8.17,7.83,10,8.58,86.17,11.1,1,12,yello-green,8
269,5,300 kg,Red Bourbon,Double Anaerobic Washed,7.83,7.33,8.25,7.08,7.33,8.17,9.33,7.17,83.83,9.2,1,10,browish-green,13
270,9,104 kg,Yellow Catuai,Pulped natural / honey,6.5,7.08,7.58,6.83,6.83,7.83,9.33,6.83,87,10.9,1,10,blue-green,11
271,125,45 kg,Catucai,Natural / Dry,7.92,7.5,7.92,7.25,8.25,7.5,10,7.58,85.42,11.1,3,5,yello-green,12
272,141,50 kg,Caturra,"Honey,Mossto",8.17,8.5,7.75,7.75,7,7.83,8.67,8.17,85.42,10.8,2,10,browish-green,7
273,125,85 kg,Caturra,Washed / Wet,8.5,8.08,7,7.5,7.67,7.42,10,7.75,84.67,11.7,3,6,greenish,0
274,100,60 kg,Typica Gesha,Washed / Wet,7.17,7.25,7.33,7.75,8,7.08,9.33,6.67,85.67,10.1,1,8,brownish,12
275,375,20 kg,Caturra,Wet Hulling,8,7.67,8.42,8.17,7.42,7.33,8.67,7.08,84.75,11.7,2,0,bluish-green,11
276,70,104 kg,SHG,Wet Hulling,8.08,8.42,8.17,7.33,8.08,7.83,8.67,8.17,87.42,9.5,1,12,browish-green,4
277,120,10 kg,Catucai,"Honey,Mossto",8.08,8.42,8.08,7,8,7.92,9.33,6.67,85.25,10.1,1,2,yellow-green,5
278,275,22 kg,"Caturra,Colombia,Castillo","Honey,Mossto",8.25,8.42,6.75,7.08,7.58,8.17,9.33,8.58,89.33,11.3,4,6,yello-green,10
279,66,12 kg,Sarchimor,Double Anaerobic Washed,8.58,8.42,7.67,7.17,7.58,7.75,8.67,7.17,82.67,8.1,3,10,yellow-green,0
280,584,90 kg,Sarchimor,Natural / Dry,7.25,7.67,7.92,8.33,7.17,7.58,8.67,7.33,85,11.8,0,1,yellow green,0
281,55,12 kg,"Caturra,Colombia,Castillo",Pulped natural / honey,8.33,7.08,6.75,7.42,7.33,8.42,9.33,8,84.92,10,4,1,greenish,9
282,960,85 kg,"BOURBON, CATURRA Y CATIMOR",Double Anaerobic Washed,7.33,7.5,7.75,7.42,7.58,7.67,9.33,7.58,83.5,9.8,1,6,yellow- green,12
283,150,100 kg,Java,Double Anaerobic Washed,6.5,8.5,6.75,8.25,7.42,8.42,9.33,7.75,86.67,9.5,3,9,brownish,5
284,141,35 kg,Yellow Catuai,Natural / Dry,8.5,7.17,7.25,7.33,7.33,7.75,10,8.17,84.75,9.3,2,1,yellow- green,3
285,14,5 kg,"Caturra,Colombia,Castillo",Wet Hulling,8.17,7.83,7.5,7.42,7.58,8.42,10,7.67,87.58,11.8,0,5,yello-green,7
286,320,100 kg,Bourbon,Wet Hulling,7.5,7.92,7.67,7.5,7,7.75,10,7.33,86.5,12.4,0,5,yello-green,3
287,8,50 kg,Typica Bourbon Caturra Catimor,Wet Hulling,7.75,7.5,6.67,7.25,8.25,7.08,9.33,7.42,83,11.2,2,9,greenish,4
288,620,25 kg,SL28,Washed / Wet,7.25,8,8.42,7.25,7.42,7.08,10,7.17,85,13.3,2,10,yellow-green,10
289,2,10 kg,Caturra,Wet Hulling,7.67,7.17,7.25,7.33,7.75,7.75,10,8,82.5,8.9,3,10,yellow green,2
290,620,36 kg,"Bourbon, Catimor, Caturra, Typica",Wet Hulling,7.83,7.83,6.92,7.75,7.25,7.42,9.33,7.67,82.25,10,5,8,yellow- green,2
291,35,104 kg,Bourbon Sidra,"Honey,Mossto",7.58,8.5,7.42,7.33,7.67,7,10,6.67,87,10.4,3,6,greenish,0
292,3,22 kg,Catuai,Double Carbonic Maceration / Natural,7.42,7.83,7.67,7,7.08,8.42,9.33,7.17,82.5,13.1,4,0,pale yellow,3
293,9,50 kg,Yellow Bourbon,Double Anaerobic Washed,8,7.75,7.5,7.17,7.33,7,9.33,8.33,84.67,11.5,0,9,yello-green,10
294,32,20 kg,Catimor,Double Anaerobic Washed,8.58,7.08,7.58,8.08,8.25,8.25,8.67,8.33,82.67,9.1,1,9,browish-green,0
295,35,15 kg,"Catimor,Catuai,Caturra,Bourbon",Pulped natural / honey,8.58,8.33,8.17,8.33,7,7,8.67,7.58,85,10.6,5,10,yellowish,8
296,500,85 kg,Parainema,Pulped natural / honey,7.17,7.17,6.75,7.92,7.08,7.08,10,7.17,84,10.2,1,10,bluish-green,10
297,125,22 kg,"Caturra,Colombia,Castillo",Wet Hulling,7.33,6.75,6.75,8.58,8.08,8.42,9.33,7.33,82.75,10.9,3,1,yellow green,5
298,120,15 kg,Typica Gesha,Natural / Dry,7.67,8.33,8,7.75,7.08,6.67,10,7,85.75,11.8,1,9,brownish,1
299,340,85 kg,Catuai,Natural / Dry,7.42,7.67,7.58,7.33,7.92,7.75,8.67,8.08,87.58,8.1,5,10,browish-green,16
300,14,300 kg,Sl34+Gesha,Double Anaerobic Washed,8,7.25,7.08,8.17,6.83,8,9.33,7.67,85.75,10.6,2,7,yello-green,7
301,70,16 kg,"Caturra,Colombia,Castillo",Pulped natural / honey,7.33,7.33,7.83,7.83,8.17,6.67,10,7.17,82.42,11.9,0,2,pale yellow,11
302,35,69 kg,"Jember,TIM-TIM,Ateng",Wet Hulling,8.58,7.5,7.67,7.33,6.83,8.25,10,7.5,84.75,10.3,0,9,yellow- green,11
303,74,69 kg,Typica,Wet Hulling,7.25,8.42,7,7.17,7.33,6.67,10,7.17,83,11.1,5,7,yellowish,11
304,340,300 kg,Yellow Catuai,"Honey,Mossto",7.08,8.5,7.5,8,7.58,7.25,9.33,6.67,82.25,11.1,3,6,yello-green,8
305,40,104 kg,"Red Bourbon,Caturra",Double Anaerobic Washed,8.33,8.08,6.67,7.25,7.42,8.25,10,8.08,84.67,11.4,5,2,brownish,10
306,26,12 kg,Catuai and Mundo Novo,"Honey,Mossto",8.25,7.75,7.58,7.08,6.83,8.17,10,8.5,87.58,9.2,4,5,pale yellow,12
307,19,70 kg,"Bourbon, Catimor, Caturra, Typica",Pulped natural / honey,7.75,7.75,7.5,7.08,8.25,8.42,9.33,8.08,84.33,12.1,3,3,brownish,12
308,22,48 kg,Castillo Paraguaycito,Pulped natural / honey,8.5,8.33,8.25,8.08,7.83,8,8.67,7.67,85.83,11.3,3,0,green,3
309,440,60 kg,SHG,Semi Washed,7.08,7.75,7.25,8.25,7.17,7.5,8.67,7.83,85.75,11,3,9,yellow green,3
310,440,69 kg,"Catimor,Catuai,Caturra,Bourbon",Wet Hulling,8.08,7.42,7.25,7.5,7.33,7,9.33,8.17,85.83,12.3,1,12,yellow- green,4
311,285,90 kg,"BOURBON, CATURRA Y CATIMOR",Pulped natural / honey,7.67,6.75,8.08,7,7.75,7.42,8.67,8.25,84.58,9.1,1,3,browish-green,12
312,10,36 kg,Bourbon,Double Carbonic Maceration / Natural,7.33,8.5,8.08,7.67,7.42,8.42,8.67,7.83,85.17,9.1,3,2,yellow green,9
313,141,85 kg,Typica Bourbon Caturra Catimor,Double Carbonic Maceration / Natural,7.17,8.33,7.25,6.83,8,7.42,10,6.83,85.17,10.7,3,10,yello-green,9
314,635,4 kg,Typica Gesha,Double Carbonic Maceration / Natural,7.83,7.5,7.08,7.58,7.33,7.67,8.67,7.92,89.33,8.4,1,7,browish-green,3
315,960,13 kg,"Bourbon, Catimor, Caturra, Typica",Anaerobico 1000h,6.5,7.58,7.42,8.58,7.33,7.58,8.67,7.75,83.17,8.1,5,3,blue-green,16
316,275,36 kg,SHG,Semi Washed,8.33,8.25,7.33,8.17,7.25,7.08,8.67,7.75,83.25,11.7,0,10,browish-green,3
317,16,90 kg,"Caturra,Colombia,Castillo",Washed / Wet,7.83,8.42,7.67,8.08,7.33,8,8.67,7.08,83.5,8.9,4,7,yellow-green,16
318,125,20 kg,Pacamara,Double Anaerobic Washed,8.25,8.25,6.75,7,7.33,7.83,8.67,7.58,87.08,9.5,3,7,yello-green,16
319,500,100 kg,Typica,"Honey,Mossto",7.17,7.58,8.25,7.5,8.17,7.92,9.33,7.42,85.67,12.3,2,0,yellow green,12
320,13,4 kg,Catuai and Mundo Novo,Double Anaerobic Washed,7.33,7.25,7.42,7.92,7.08,7.5,8.67,6.67,84.92,10.5,2,7,pale yellow,1
321,325,20 kg,Catrenic,Washed / Wet,7.75,7.08,7.25,7.83,7.33,7.42,9.33,7.58,83.25,9.3,0,1,blue-green,7
322,32,48 kg,Catuai and Mundo Novo,Double Anaerobic Washed,8.08,8,7.58,8,8.08,7.42,8.67,7,82.67,10.7,3,10,pale yellow,5
323,200,25 kg,Pacamara,Wet Hulling,6.5,6.75,7.25,6.83,7.75,7.83,10,7.33,85.17,11.1,4,0,brownish,9
324,26,104 kg,Yellow Bourbon,Double Carbonic Maceration / Natural,8,8.42,7.92,7.92,7.17,7.25,9.33,8.58,87.17,10.6,3,7,yello-green,4
325,120,10 kg,Mundo Novo,Pulped natural / honey,8,7.58,6.75,7.5,7.75,7.42,8.67,7.17,86.25,9.5,4,7,green,10
326,77,13 kg,Sarchimor,Pulped natural / honey,7.08,6.75,7.75,8.33,6.83,8,8.67,6.67,83.83,13.5,3,10,green,10
327,50,4 kg,Catimor,Natural / Dry,7.33,7.67,8,7.75,7.33,7.92,10,7.58,84.42,11.1,2,5,pale yellow,0
328,26,35 kg,"BOURBON, CATURRA Y CATIMOR",Double Anaerobic Washed,8,7.5,7.92,6.83,6.83,7,9.33,7.75,82.75,12.3,4,1,green,13
329,375,20 kg,Castillo and Colombia blend,Anaerobico 1000h,7.92,6.75,6.67,7.92,7.33,7.08,8.67,8.17,86.67,9.3,2,6,yellowish,2
330,375,36 kg,Typica,Pulped natural / honey,8.58,7.58,7,7.5,7.67,7.08,10,7,85.75,9.5,0,8,green,3
331,100,22 kg,"Wolishalo,Kurume,Dega","Honey,Mossto",8.17,8,7.08,7,7.75,7.83,8.67,7.17,84,10.1,1,10,yellow-green,8
332,19,320 kg,SL14,Semi Washed,8.17,6.75,7.33,7.42,7.17,7.08,8.67,8.25,87.58,11.7,2,7,blue-green,7
333,320,48 kg,Bourbon Sidra,Wet Hulling,7.92,8.17,8.42,7.08,8.17,8.25,8.67,8.5,89.33,12,2,0,blue-green,0
334,250,13 kg,Yellow Catuai,Semi Washed,8.25,7.25,6.67,8.17,7.17,7.5,8.67,7.58,84,13.5,1,10,yellow- green,10
335,345,12 kg,Yellow Catuai,Semi Washed,7.08,7.08,8,8.17,7,7,9.33,8.25,84.42,10.7,0,0,browish-green,16
336,22,48 kg,Typica Bourbon Caturra Catimor,Double Carbonic Maceration / Natural,8.08,7.25,8,6.83,7.92,7.58,9.33,7.83,84,11.5,3,0,brownish,13
337,40,30 kg,"Catimor,Catuai,Caturra,Bourbon",Anaerobico 1000h,6.5,7.83,7.75,7.75,7.42,7.83,10,7.92,84.67,9.3,1,8,blue-green,5
338,141,10 kg,Catrenic,Anaerobico 1000h,8.58,7.75,8.25,7.5,7.17,7,10,8.5,83.5,11.6,4,5,yellow-green,3
339,275,16 kg,"Bourbon, Catimor, Caturra, Typica",Semi Washed,7.83,7.83,7.25,7.25,7.75,7.08,9.33,7.17,86.5,9.9,5,1,green,0
340,120,27 kg,Typica Bourbon Caturra Catimor,Wet Hulling,8,8.25,7.33,6.83,8.17,7.33,9.33,8,84.67,12.3,2,9,yello-green,4
341,320,24 kg,Catucai,Natural / Dry,7.42,8.33,8.17,7.08,7.92,7.83,9.33,7.75,85,8.4,0,12,pale yellow,13
342,1,15 kg,Parainema,Washed / Wet,8.08,7.25,7,8.33,6.83,8.42,8.67,8.58,83.25,9.9,5,12,yellowish,9
343,3,24 kg,Castillo and Colombia blend,Anaerobico 1000h,6.5,6.75,7.75,7.83,7.42,7.67,10,7.75,85.17,12.4,4,8,blue-green,0
344,620,13 kg,SL14,"Honey,Mossto",7.75,7.58,8.25,7.08,8.08,7.08,8.67,8,85.33,10.9,1,8,greenish,5
345,4,13 kg,"Red Bourbon,Caturra",Double Anaerobic Washed,8.17,8.25,8.08,8.08,7.33,7.67,9.33,8.33,84.67,11.6,2,10,yellow green,8
346,340,100 kg,Catrenic,Natural / Dry,8.08,7.25,7.58,7,6.83,7.42,8.67,6.83,84.92,11.2,5,2,pale yellow,10
347,275,30 kg,"Castillo,Caturra,Bourbon",Double Anaerobic Washed,7.33,7.92,8.25,7.5,6.83,8.17,9.33,7,84,12.3,2,1,yellow green,11
348,275,15 kg,SL14,Pulped natural / honey,7.08,8,7.83,7.42,6.83,8.17,10,7.58,87.08,13.3,4,6,blue-green,11
349,500,90 kg,Parainema,"Honey,Mossto",7.25,8.33,8,7.5,7.33,7.25,10,7.83,82.67,12.1,5,2,yellow green,5
350,125,5 kg,Java,Semi Washed,7.83,8.42,7.5,7.83,7.75,7.08,9.33,7.5,84.25,10.7,4,3,yellow green,2
351,3,25 kg,SL28,Natural / Dry,7.08,7.08,7.58,7.67,7.08,7.42,8.67,7.5,82.67,12.3,1,10,yello-green,4
352,375,12 kg,Castillo and Colombia blend,Semi Washed,7.92,7.25,7.75,7.25,8.08,8.25,8.67,7.92,87.08,8.1,2,9,greenish,8
353,4,300 kg,"Jember,TIM-TIM,Ateng",Double Carbonic Maceration / Natural,7.33,7.25,7.67,7.33,8.08,7.83,9.33,6.67,84.67,13.5,5,9,yellow green,7
354,20,1 kg,Typica Gesha,Natural / Dry,7.33,8.42,7.5,6.83,7.42,8.17,10,7.17,82.5,11.6,2,7,yellow-green,3
355,3,25 kg,Castillo Paraguaycito,Wet Hulling,8.58,7.83,7.33,8.17,8,7.08,8.67,7.83,82.25,13.1,0,3,browish-green,10
356,3,100 kg,Typica,Washed / Wet,7.75,7.42,7.75,7.33,7.08,8,9.33,8.17,85.33,10.3,4,5,bluish-green,9
357,14,36 kg,Sarchimor,Wet Hulling,8.25,7.25,7.17,6.83,7.08,8.08,10,7.5,84.75,8.1,1,1,blue-green,1
358,13,15 kg,"Bourbon, Catimor, Caturra, Typica","Honey,Mossto",8.17,7.25,8.25,7.67,8,7.33,8.67,7.33,87.08,12.3,2,0,yellowish,3
359,66,25 kg,Catimor,Double Anaerobic Washed,7.17,7.75,6.92,8.33,6.83,7.92,9.33,7.17,82.33,10,0,7,yellow green,3
360,1,100 kg,"Jember,TIM-TIM,Ateng",Double Carbonic Maceration / Natural,8.17,7.17,6.75,7,6.83,7.5,9.33,7.67,83.58,13.5,1,0,pale yellow,5
361,300,70 kg,Typica,Wet Hulling,7.25,8,8.25,7.67,7.33,7.75,10,8,84.75,13.1,4,5,pale yellow,2
362,20,13 kg,Mundo Novo,Double Carbonic Maceration / Natural,7.92,7.75,6.92,7.25,8.08,7.33,9.33,7.33,83.5,9.2,2,1,bluish-green,8
363,141,100 kg,Parainema,Washed / Wet,7.67,7.58,6.75,7.83,7,7.25,10,7.67,82.83,10.8,2,5,yellow green,9
364,14,30 kg,Catuai,"Honey,Mossto",8.08,8.42,8,8,7.17,8.17,9.33,7.17,83.17,11.3,2,6,browish-green,11
365,19,104 kg,Bourbon,Natural / Dry,7.42,8.08,6.67,8.33,7.33,7.58,8.67,7.17,84.33,10.4,5,7,browish-green,3
366,320,300 kg,Caturra,Semi Washed,7.42,7.58,7.75,8,6.83,7.83,8.67,7.5,84.58,13.3,2,10,green,10
367,2,45 kg,Catucai,"Honey,Mossto",8.17,7.75,7.42,7.58,7.42,7.75,10,8.5,86.5,9.7,3,5,yellow-green,8
368,25,300 kg,SHG,Wet Hulling,8.25,7.17,7.08,7.5,7.42,7.67,8.67,8.58,85.83,12,0,8,yellow- green,1
369,70,320 kg,"Red Bourbon,Caturra","Honey,Mossto",7.33,8,8.17,8.17,6.83,8.42,8.67,7.5,86.67,9.3,1,10,green,7
370,584,50 kg,"Wolishalo,Kurume,Dega",Anaerobico 1000h,7.42,7.75,7.33,8.58,7,7.83,8.67,7.75,82.75,11.2,2,9,bluish-green,11
371,1,104 kg,"Bourbon, Catimor, Caturra, Typica",Pulped natural / honey,7.67,7.83,7.5,7.92,7.33,7.83,8.67,8.58,82.75,10.2,3,0,brownish,3
372,635,320 kg,"Wolishalo,Kurume,Dega","Honey,Mossto",8.17,7.25,8.08,8.33,6.83,7.67,8.67,7.08,83.08,9.3,5,7,yellowish,1
373,10,20 kg,Gesha,Pulped natural / honey,7.75,7.42,8.08,8.25,8.25,7.83,10,7.17,86.67,9.2,2,5,pale yellow,13
